zipcoderegion,weight,totalcube
24,{'weight__sum': None},{'totalcube__sum': None}
97,{'weight__sum': None},{'totalcube__sum': None}
11,{'weight__sum': None},{'totalcube__sum': None}
83,{'weight__sum': None},{'totalcube__sum': None}
60,{'weight__sum': 567098152.4642258},{'totalcube__sum': 0.0}
90,{'weight__sum': None},{'totalcube__sum': None}
01,{'weight__sum': None},{'totalcube__sum': None}
02,{'weight__sum': None},{'totalcube__sum': None}
43,{'weight__sum': None},{'totalcube__sum': None}
40,{'weight__sum': 141355062.72855663},{'totalcube__sum': 0.0}
47,{'weight__sum': None},{'totalcube__sum': None}
07,{'weight__sum': None},{'totalcube__sum': None}
77,{'weight__sum': None},{'totalcube__sum': None}
85,{'weight__sum': None},{'totalcube__sum': None}
63,{'weight__sum': None},{'totalcube__sum': None}
79,{'weight__sum': 6325663.562515259},{'totalcube__sum': 0.0}
72,{'weight__sum': None},{'totalcube__sum': None}
14,{'weight__sum': None},{'totalcube__sum': None}
53,{'weight__sum': None},{'totalcube__sum': None}
18,{'weight__sum': 422534734.8069361},{'totalcube__sum': 0.0}
81,{'weight__sum': None},{'totalcube__sum': None}
98,{'weight__sum': 27484277.76715088},{'totalcube__sum': 0.0}
99,{'weight__sum': None},{'totalcube__sum': None}
86,{'weight__sum': None},{'totalcube__sum': None}
45,{'weight__sum': 164126085.27609634},{'totalcube__sum': 0.0}
59,{'weight__sum': None},{'totalcube__sum': None}
61,{'weight__sum': None},{'totalcube__sum': None}
20,{'weight__sum': None},{'totalcube__sum': None}
49,{'weight__sum': None},{'totalcube__sum': None}
56,{'weight__sum': None},{'totalcube__sum': None}
55,{'weight__sum': None},{'totalcube__sum': None}
06,{'weight__sum': None},{'totalcube__sum': None}
54,{'weight__sum': None},{'totalcube__sum': None}
68,{'weight__sum': 197821384.6944437},{'totalcube__sum': 0.0}
13,{'weight__sum': None},{'totalcube__sum': None}
67,{'weight__sum': 12822506.976928711},{'totalcube__sum': 0.0}
08,{'weight__sum': None},{'totalcube__sum': None}
41,{'weight__sum': None},{'totalcube__sum': None}
57,{'weight__sum': None},{'totalcube__sum': None}
25,{'weight__sum': None},{'totalcube__sum': None}
58,{'weight__sum': None},{'totalcube__sum': None}
04,{'weight__sum': None},{'totalcube__sum': None}
96,{'weight__sum': None},{'totalcube__sum': None}
00,{'weight__sum': None},{'totalcube__sum': None}
82,{'weight__sum': None},{'totalcube__sum': None}
69,{'weight__sum': None},{'totalcube__sum': None}
42,{'weight__sum': None},{'totalcube__sum': None}
88,{'weight__sum': None},{'totalcube__sum': None}
26,{'weight__sum': None},{'totalcube__sum': None}
52,{'weight__sum': 177766139.92017126},{'totalcube__sum': 0.0}
51,{'weight__sum': 41452445.87878418},{'totalcube__sum': 0.0}
V3,{'weight__sum': None},{'totalcube__sum': None}
03,{'weight__sum': None},{'totalcube__sum': None}
M9,{'weight__sum': None},{'totalcube__sum': None}
16,{'weight__sum': None},{'totalcube__sum': None}
V6,{'weight__sum': None},{'totalcube__sum': None}
 9,{'weight__sum': None},{'totalcube__sum': None}
V2,{'weight__sum': None},{'totalcube__sum': None}
05,{'weight__sum': None},{'totalcube__sum': None}
L1,{'weight__sum': None},{'totalcube__sum': None}
L9,{'weight__sum': None},{'totalcube__sum': None}
M8,{'weight__sum': None},{'totalcube__sum': None}
II,{'weight__sum': None},{'totalcube__sum': None}
H4,{'weight__sum': None},{'totalcube__sum': None}
K1,{'weight__sum': None},{'totalcube__sum': None}
L2,{'weight__sum': None},{'totalcube__sum': None}
N3,{'weight__sum': None},{'totalcube__sum': None}
J4,{'weight__sum': None},{'totalcube__sum': None}
E1,{'weight__sum': None},{'totalcube__sum': None}
NO,{'weight__sum': None},{'totalcube__sum': None}
L5,{'weight__sum': None},{'totalcube__sum': None}
M4,{'weight__sum': None},{'totalcube__sum': None}
M1,{'weight__sum': None},{'totalcube__sum': None}
V9,{'weight__sum': None},{'totalcube__sum': None}
T2,{'weight__sum': None},{'totalcube__sum': None}
L6,{'weight__sum': None},{'totalcube__sum': None}
NJ,{'weight__sum': None},{'totalcube__sum': None}
DU,{'weight__sum': None},{'totalcube__sum': None}
V7,{'weight__sum': None},{'totalcube__sum': None}
 7,{'weight__sum': None},{'totalcube__sum': None}
V4,{'weight__sum': None},{'totalcube__sum': None}
V8,{'weight__sum': None},{'totalcube__sum': None}
L3,{'weight__sum': None},{'totalcube__sum': None}
  ,{'weight__sum': None},{'totalcube__sum': None}
V5,{'weight__sum': None},{'totalcube__sum': None}
H7,{'weight__sum': None},{'totalcube__sum': None}
L4,{'weight__sum': None},{'totalcube__sum': None}
`7,{'weight__sum': None},{'totalcube__sum': None}
K8,{'weight__sum': None},{'totalcube__sum': None}
L8,{'weight__sum': None},{'totalcube__sum': None}
J2,{'weight__sum': None},{'totalcube__sum': None}
C.,{'weight__sum': None},{'totalcube__sum': None}
J3,{'weight__sum': None},{'totalcube__sum': None}
H1,{'weight__sum': None},{'totalcube__sum': None}
PO,{'weight__sum': None},{'totalcube__sum': None}
OR,{'weight__sum': None},{'totalcube__sum': None}
H9,{'weight__sum': None},{'totalcube__sum': None}
WA,{'weight__sum': None},{'totalcube__sum': None}
NY,{'weight__sum': None},{'totalcube__sum': None}
CO,{'weight__sum': None},{'totalcube__sum': None}
 3,{'weight__sum': None},{'totalcube__sum': None}
N6,{'weight__sum': None},{'totalcube__sum': None}
K7,{'weight__sum': None},{'totalcube__sum': None}
R3,{'weight__sum': None},{'totalcube__sum': None}
L7,{'weight__sum': None},{'totalcube__sum': None}
M5,{'weight__sum': None},{'totalcube__sum': None}
QC,{'weight__sum': None},{'totalcube__sum': None}
H3,{'weight__sum': None},{'totalcube__sum': None}
BC,{'weight__sum': None},{'totalcube__sum': None}
ON,{'weight__sum': None},{'totalcube__sum': None}
M2,{'weight__sum': None},{'totalcube__sum': None}
T7,{'weight__sum': None},{'totalcube__sum': None}
S4,{'weight__sum': None},{'totalcube__sum': None}
S0,{'weight__sum': None},{'totalcube__sum': None}
HU,{'weight__sum': None},{'totalcube__sum': None}
B3,{'weight__sum': None},{'totalcube__sum': None}
N5,{'weight__sum': None},{'totalcube__sum': None}
Q,{'weight__sum': None},{'totalcube__sum': None}
X,{'weight__sum': None},{'totalcube__sum': None}
F,{'weight__sum': None},{'totalcube__sum': None}
`,{'weight__sum': None},{'totalcube__sum': None}
09,{'weight__sum': None},{'totalcube__sum': None}
0H,{'weight__sum': None},{'totalcube__sum': None}
WE,{'weight__sum': None},{'totalcube__sum': None}
N2,{'weight__sum': None},{'totalcube__sum': None}
M3,{'weight__sum': None},{'totalcube__sum': None}
H8,{'weight__sum': None},{'totalcube__sum': None}
0,{'weight__sum': None},{'totalcube__sum': None}
J7,{'weight__sum': None},{'totalcube__sum': None}
B4,{'weight__sum': None},{'totalcube__sum': None}
 8,{'weight__sum': None},{'totalcube__sum': None}
N4,{'weight__sum': None},{'totalcube__sum': None}
JO,{'weight__sum': None},{'totalcube__sum': None}
K9,{'weight__sum': None},{'totalcube__sum': None}
1C,{'weight__sum': None},{'totalcube__sum': None}
